template_id,label,content,explanation
1,normal,instruction cache parity error corrected,指令缓存奇偶校验错误已通过硬件纠错机制修复，无系统功能影响，符合正常纠错日志特征
2,normal,MidplaneSwitchController performing bit sparing on R27-M1-L3-U18-C bit 3,中板交换控制器在R27-M1-L3-U18-C位置的3号比特执行位冗余切换，属于硬件冗余机制正常触发，保障系统稳定性
3,normal,generating core.22755,生成核心转储文件core.22755，为程序调试或异常后分析提供数据支持，属于正常系统诊断输出
4,normal,"1 ddr errors(s) detected and corrected on rank 0, symbol 31, bit 5",在DDR内存0秩、12符号、5比特位置检测到1个错误，已通过ECC纠错机制修复，单次纠错符合内存正常运行特征
5,normal,19 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,检测到19个L3 EDRAM错误（DCR寄存器值0x0157），均已通过硬件纠错功能修复，未超出正常纠错频次阈值
6,normal,"CE sym 12, at 0x1682ed20, mask 0x01",可纠正错误（CE）发生在地址0x1682ed20、符号12位置，掩码0x01，已完成自动纠错，无系统性能影响
7,normal,total of 1 ddr error(s) detected and corrected,DDR内存累计检测到1个错误并完成纠正，纠错频次处于正常范围，内存功能正常
8,normal,ddr: activating redundant bit steering: rank=0 symbol=4,DDR内存激活冗余位导向功能，涉及0秩4符号，属于内存冗余机制正常启用，提升错误容错能力
9,normal,"ddr: excessive soft failures, consider replacing the card",DDR内存出现过多软错误，系统提示建议更换硬件卡，当前仍可运行但需关注硬件状态
10,normal,"ciod: Error loading /p/gb2/spelce1/raptor.dev.new3d.BGL.CXX_XL.MPI.ex: invalid or missing program image, No such file or directory",ciod进程加载指定MPI程序时失败，原因是程序镜像无效或文件路径不存在，属于文件配置错误，非系统核心异常
11,normal,3091200 double-hummer alignment exceptions,累计出现3091200次双总线对齐异常，属于程序运行时的轻微兼容性问题，未导致系统中断
12,normal,1 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected,检测到1次树状接收器1重新同步事件（DCR寄存器值0x0185），属于通信链路正常同步流程，无故障关联
13,normal,idoproxydb has been started: Name: DRV141_2005 Input parameters: -enableflush -loguserinfo db.properties BlueGene1,idoproxydb服务已启动，启动参数包含日志刷新启用、用户信息记录等，服务初始化正常
14,normal,ciodb has been restarted.,ciodb数据库服务已重启，服务状态恢复正常，无关联故障告警
15,normal,mmcs_db_server has been started: ./mmcs_db_server --useDatabase BGL --dbproperties serverdb.properties --iolog /bgl/BlueLight/logs/BGL --reconnect-blocks all,mmcs数据库服务器已启动，配置使用BGL数据库、指定日志路径并启用全区块重连，服务启动参数正常
16,normal,ciod: LOGIN chdir(/home/germann2/SPaSM_static) failed: No such file or directory,ciod进程登录时切换工作目录至/home/germann2/SPaSM_static失败，原因是目录不存在，属于用户配置错误
17,anomaly,ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:52332: ciod进程在与172.16.96.116,52332的控制流套接字通信时，无法读取消息前缀，属于控制流通信异常，可能导致节点控制指令传输失败，符合软件类通信故障特征
18,anomaly,data TLB error interrupt,数据转换检测缓冲区（TLB）错误中断，触发硬件异常中断机制，表明虚拟地址到物理地址的转换过程出现故障，可能导致内存访问失效，属于硬件类内存管理异常
19,normal,instruction address: 0x00004ed8,指令地址为0x00004ed8，属于程序执行过程中的正常地址输出，无故障关联信息
20,normal,machine check enable..............0,机器检查功能禁用（值为0），属于系统正常配置状态，未启用硬件故障检测机制
20,anomaly,machine check interrupt,机器检查中断触发，表明系统检测到硬件级故障（可能涉及CPU、内存或总线组件），需结合硬件状态寄存器进一步定位，属于严重硬件异常，可能导致系统稳定性下降
21,normal,machine check status register: 0xa0800000,机器检查状态寄存器值为0xa0800000，记录硬件检测状态，当前无故障标识，属于正常状态输出
22,normal,summary...........................1,汇总状态值为1，属于系统状态统计正常输出，无异常关联
23,normal,instruction plb error.............0,指令PLB总线错误计数为0，表明指令总线传输正常，无故障发生
24,normal,data write plb error..............0,数据写入PLB总线错误计数为0，数据总线写入操作正常
25,normal,tlb error.........................0,TLB错误计数为0，虚拟地址转换功能正常
26,normal,i-cache parity error..............0,指令缓存奇偶校验错误计数为0，指令缓存数据完整性正常
27,normal,d-cache flush parity error........0,数据缓存刷新奇偶校验错误计数为0，数据缓存操作正常
28,normal,imprecise machine check...........0,非精确机器检查计数为0，硬件故障检测精度正常，无模糊故障报告
29,normal,machine state register: 0x00002000,机器状态寄存器值为0x00002000，记录当前系统运行状态，无异常标识
30,normal,wait state enable.................0,等待状态禁用（值为0），属于系统正常运行配置
31,normal,critical input interrupt enable...0,关键输入中断禁用（值为0），系统未启用关键事件紧急响应机制
32,normal,external input interrupt enable...0,外部输入中断禁用（值为0），无外部设备中断请求配置
33,normal,"problem state (0=sup,1=usr).......0",系统处于特权模式（值为0），属于正常运行权限状态
34,normal,floating point instr. enabled.....1,浮点指令启用（值为1），浮点运算功能正常激活
34,anomaly,floating point unavailable interrupt,浮点运算不可用中断，表明浮点运算单元（FPU）故障或未正确初始化，导致浮点指令无法执行，属于硬件类运算单元异常，影响依赖浮点计算的程序运行
35,normal,floating pt ex mode 0 enable......0,浮点异常模式0禁用（值为0），属于正常浮点运算配置
36,normal,debug wait enable.................0,调试等待功能禁用（值为0），系统未处于调试暂停状态
37,normal,debug interrupt enable............0,调试中断禁用（值为0），无调试相关中断配置
