content,event_id,template,label
"- 1980 2005.12.14 R74-M1-N0-C:J12-U01 2005-12-14-21.56.23.782819 R74-M1-N0-C:J12-U01 RAS KERNEL INFO 5 ddr error(s) detected and corrected on rank 0, symbol 28 over 2946 seconds",E1,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",normal
"- 1979 2005.12.14 R61-M0-N8-C:J17-U11 2005-12-14-21.05.56.145306 R61-M0-N8-C:J17-U11 RAS KERNEL INFO 2 ddr error(s) detected and corrected on rank 0, symbol 34 over 2738 seconds",E1,"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> seconds",normal
- 1733 2005.11.09 R51-M1-N4-C:J07-U01 2005-11-09-21.46.07.597381 R51-M1-N4-C:J07-U01 RAS KERNEL INFO 5 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,E10,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,normal
- 598 2005.07.06 R27-M1-N1-C:J02-U11 2005-07-06-06.59.42.777345 R27-M1-N1-C:J02-U11 RAS KERNEL INFO 1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,E10,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,normal
- 274 2005.06.14 R21-M1-N5-C:J05-U11 2005-06-14-10.54.39.063056 R21-M1-N5-C:J05-U11 RAS KERNEL FATAL program interrupt: fp cr update.............0,E100,program interrupt: fp cr update.............<*>,normal
- 436 2005.06.26 R01-M1-N0-C:J04-U11 2005-06-26-09.25.49.706431 R01-M1-N0-C:J04-U11 RAS KERNEL INFO program interrupt: illegal instruction......1,E101,program interrupt: illegal instruction......<*>,normal
- 237 2005.06.14 R26-M0-N0-C:J02-U01 2005-06-14-10.21.37.752462 R26-M0-N0-C:J02-U01 RAS KERNEL FATAL program interrupt: illegal instruction......0,E101,program interrupt: illegal instruction......<*>,normal
- 445 2005.06.26 R36-M0-N9-C:J12-U01 2005-06-26-09.36.45.237515 R36-M0-N9-C:J12-U01 RAS KERNEL INFO program interrupt: imprecise exception......0,E102,program interrupt: imprecise exception......<*>,normal
- 271 2005.06.14 R25-M0-N6-C:J14-U11 2005-06-14-10.51.56.234430 R25-M0-N6-C:J14-U11 RAS KERNEL FATAL program interrupt: imprecise exception......0,E102,program interrupt: imprecise exception......<*>,normal
- 437 2005.06.26 R05-M1-N9-C:J14-U11 2005-06-26-09.26.47.879500 R05-M1-N9-C:J14-U11 RAS KERNEL INFO program interrupt: privileged instruction...0,E103,program interrupt: privileged instruction...<*>,normal
- 453 2005.06.26 R35-M1-NF-C:J15-U01 2005-06-26-10.33.38.646025 R35-M1-NF-C:J15-U01 RAS KERNEL INFO program interrupt: privileged instruction...0,E103,program interrupt: privileged instruction...<*>,normal
- 248 2005.06.14 R20-M1-NB-C:J03-U11 2005-06-14-10.31.49.464584 R20-M1-NB-C:J03-U11 RAS KERNEL FATAL program interrupt: trap instruction.........0,E104,program interrupt: trap instruction.........<*>,normal
- 444 2005.06.26 R00-M1-N3-C:J11-U01 2005-06-26-09.34.53.251232 R00-M1-N3-C:J11-U01 RAS KERNEL INFO program interrupt: unimplemented operation..0,E105,program interrupt: unimplemented operation..<*>,normal
- 264 2005.06.14 R24-M0-NA-C:J16-U11 2005-06-14-10.47.39.811377 R24-M0-NA-C:J16-U11 RAS KERNEL FATAL program interrupt: unimplemented operation..0,E105,program interrupt: unimplemented operation..<*>,normal
- 1796 2005.11.26 R03-M1-NF-C:J07-U01 2005-11-26-16.39.56.330868 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,E106,r24=<*> r25=<*> r26=<*> r27=<*>,normal
- 296 2005.06.14 R27-M0-N6-C:J02-U11 2005-06-14-11.15.27.823191 R27-M0-N6-C:J02-U11 RAS KERNEL FATAL rts internal error,E107,rts internal error,normal
- 1232 2005.08.09 R00-M0-N6-C:J03-U11 2005-08-09-12.09.32.252222 R00-M0-N6-C:J03-U11 RAS KERNEL FATAL rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,E109,rts tree/torus link training failed: wanted: <*> got: <*>,normal
- 1760 2005.11.17 R72-M1-NE-C:J04-U01 2005-11-17-05.35.26.782649 R72-M1-NE-C:J04-U01 RAS KERNEL INFO 18507114 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over 198 seconds,E11,<*> torus sender z- retransmission error(s) (dcr <*>) detected and corrected over <*> seconds,normal
- 1448 2005.09.20 R05-M0-N1-C:J06-U11 2005-09-20-18.01.56.398119 R05-M0-N1-C:J06-U11 RAS KERNEL FATAL rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,E110,rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,normal
